R屋面角铁名称,L屋面角铁名称,R百页角铁名称,L百页角铁名称,R水沟,L水沟,R水沟T铁,L水沟T铁
G4/14R43H,G4/15L43H,0,0,G4/15R14F,G4/16L16F,G4/15R14G,G4/16L14G
G4/14R44H,G4/15L44H,0,0,G4/15R15F,G4/16L17F,G4/15R15G,G4/16L15G
G4/14R45H,G4/15L45H,0,0,G4/15R16F,G4/16L18F,G4/15R16G,G4/16L16G
G4/14R46H,G4/15L46H,0,0,G4/15R17F,G4/16L19F,G4/15R17G,G4/16L17G
G4/14R47H,G4/15L47H,0,0,G4/15R18F,G4/16L20F,G4/15R18G,G4/16L18G
G4/14R48H,G4/15L48H,0,0,G4/15R19F,G4/16L21F,G4/15R19G,G4/16L19G
G4/14R49H,G4/15L49H,0,0,G4/15R20F,G4/16L22F,G4/15R20G,G4/16L20G
G4/14R50H,G4/15L50H,0,0,G4/15R21F,G4/16L23F,G4/15R21G,G4/16L21G
G4/14R51H,G4/15L51H,0,0,G4/15R22F,G4/16L24F,G4/15R22G,G4/16L22G
G4/14R52H,G4/15L52H,0,0,G4/15R23F,G4/16L25F,G4/15R23G,G4/16L23G
G4/14R53H,G4/15L53H,0,0,G4/15R24F,G4/16L26F,G4/15R24G,G4/16L24G
G4/14R54H,G4/15L54H,0,0,G4/15R25F,G4/16L27F,G4/15R25G,G4/16L25G
G4/14R55H,G4/15L55H,0,0,G4/15R26F,G4/16L28F,G4/15R26G,G4/16L26G
G4/14R56H,G4/15L56H,0,0,G4/15R27F,G4/16L29F,G4/15R27G,G4/16L27G
G4/14R57H,G4/15L57H,0,0,G4/15R28F,G4/16L30F,G4/15R28G,G4/16L28G
G4/14R58H,G4/15L58H,0,0,G4/15R29F,G4/16L31F,G4/15R29G,G4/16L29G
G4/14R59H,G4/15L59H,0,0,G4/15R30F,G4/16L32F,G4/15R30G,G4/16L30G
G4/14R60H,G4/15L60H,0,0,G4/15R31F,G4/16L33F,G4/15R31G,G4/16L31G
G4/13R9H,G4/14L9H,G4/13R1H,G4/14L1H,G4/15R32F,G4/16L34F,G4/15R32G,G4/16L32G
G4/13R10H,G4/14L10H,G4/13R2H,G4/14L2H,G4/15R33F,G4/16L35F,G4/15R33G,G4/16L33G
G4/13R11H,G4/14L11H,G4/13R3H,G4/14L3H,G4/15R34F,G4/16L36F,G4/15R34G,G4/16L34G
G4/13R12H,G4/14L12H,G4/13R4H,G4/14L4H,G4/15R35F,G4/16L37F,G4/15R35G,G4/16L35G
G4/13R13H,G4/14L13H,G4/13R5H,G4/14L5H,G4/15R36F,G4/16L38F,G4/15R36G,G4/16L36G
G4/13R14H,G4/14L14H,G4/13R6H,G4/14L6H,G4/15R37F,G4/16L39F,G4/15R37G,G4/16L37G
G4/13R15H,G4/14L15H,G4/13R7H,G4/14L7H,G4/15R38F,G4/16L40F,G4/15R38G,G4/16L38G
G4/13R16H,G4/14L16H,G4/13R8H,G4/14L8H,G4/15R39F,G4/16L41F,G4/15R39G,G4/16L39G
G4/13R17H,G4/14L17H,0,0,G4/15R40F,G4/16L42F,G4/15R40G,G4/16L40G
G4/13R18H,G4/14L18H,0,0,G4/15R41F,G4/16L43F,G4/15R41G,G4/16L41G
G4/13R19H,G4/14L19H,0,0,G4/15R42F,G4/16L44F,G4/15R42G,G4/16L42G
G4/13R20H,G4/14L20H,0,0,G4/15R43F,G4/16L45F,G4/15R43G,G4/16L43G
G4/13R21H,G4/14L21H,0,0,G4/15R44F,G4/16L46F,G4/15R44G,G4/16L44G
G4/13R22H,G4/14L22H,0,0,G4/15R45F,G4/16L47F,G4/15R45G,G4/16L45G
G4/13R23H,G4/14L23H,0,0,G4/15R46F,G4/16L48F,G4/15R46G,G4/16L46G
G4/13R24H,G4/14L24H,0,0,G4/15R47F,G4/16L49F,G4/15R47G,G4/16L47G
G4/13R25H,G4/14L25H,0,0,G4/15R48F,G4/16L50F,G4/15R48G,G4/16L48G
G4/13R26H,G4/14L26H,0,0,G4/15R49F,G4/16L51F,G4/15R49G,G4/16L49G
G4/13R27H,G4/14L27H,0,0,G4/15R50F,G4/16L52F,G4/15R50G,G4/16L50G
G4/13R28H,G4/14L28H,0,0,G4/15R51F,G4/16L53F,G4/15R51G,G4/16L51G
G4/13R29H,G4/14L29H,0,0,G4/15R52F,G4/16L54F,G4/15R52G,G4/16L52G
G4/13R30H,G4/14L30H,0,0,G4/15R53F,G4/16L55F,G4/15R53G,G4/16L53G
G4/13R31H,G4/14L31H,0,0,G4/15R54F,G4/16L56F,G4/15R54G,G4/16L54G
G4/13R32H,G4/14L32H,0,0,G4/15R55F,G4/16L57F,G4/15R55G,G4/16L55G
